customerId:ID(Customer),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,CustomerID,labels:LABEL
AS832,思优传媒有限公司生物科技,陈玉华,总经理,天津市武汉市普陀宜都街M座 997374,拉萨县,河北省,825490,中国,18620471837,18181636868.0,AS832,Customer
AS968,华远软件网络有限公司数字科技,汪秀兰,运营总监,安徽省巢湖县友好罗路j座 888539,台北市,甘肃省,288362,中国,18625001771,15351115953.0,AS968,Customer
AT393,太极网络有限公司网络安全,刘兰英,技术总监,江西省银川市兴山上海路W座 571776,惠州市,内蒙古自治区,797677,中国,18686569133,,AT393,Customer
BA641,黄石金承信息有限公司网络安全,张秀荣,CEO,河南省丹县东城尤街b座 715081,军市,宁夏回族自治区,558977,中国,13211473298,14549002454.0,BA641,Customer
BB289,通际名联科技有限公司移动应用开发,杨桂珍,技术总监,山西省辉市孝南黄街s座 643128,玉珍县,北京市,925586,中国,15279581194,,BB289,Customer
BI779,商软冠联传媒有限公司物联网,刘玉英,CTO,宁夏回族自治区淮安市高明石家庄路C座 942043,刚县,新疆维吾尔自治区,745577,中国,13936209672,,BI779,Customer
BM923,恩悌网络有限公司云计算,赵秀兰,CTO,浙江省利县华龙巢湖路i座 210303,武汉市,山西省,843988,中国,15164436226,18724658631.0,BM923,Customer
BZ875,良诺信息有限公司金融科技,邱玉,总经理,海南省玉市璧山陈街N座 471929,鑫市,安徽省,382063,中国,18647408556,13543758651.0,BZ875,Customer
CE253,雨林木风计算机传媒有限公司数字科技,刘海燕,CTO,湖北省荣县白云汪路G座 286703,刚市,上海市,604223,中国,18516712233,15623531643.0,CE253,Customer
CH892,信诚致远科技有限公司虚拟现实,申涛,CEO,贵州省永安县闵行齐齐哈尔街f座 397948,石家庄市,吉林省,557980,中国,15861382723,15862903746.0,CH892,Customer
CP557,良诺信息有限公司信息技术,冯明,技术总监,陕西省南昌县西峰朱路u座 281318,兰州县,天津市,255219,中国,15000326205,,CP557,Customer
CQ342,浙大万朋信息有限公司互联网服务,田红,采购经理,安徽省西安县沈北新澳门路X座 435212,秀英市,山东省,192695,中国,18919667267,18243015891.0,CQ342,Customer
DZ282,良诺信息有限公司移动应用开发,齐欣,总经理,甘肃省秀云市上街合肥路i座 146344,西安市,湖北省,278336,中国,18642245040,13035067935.0,DZ282,Customer
EP042,创亿网络有限公司数字科技,刘伟,项目经理,重庆市重庆市大兴阜新街Y座 156258,济南市,福建省,122791,中国,15874129678,13658334008.0,EP042,Customer
ET664,华远软件网络有限公司区块链技术,房小红,运营总监,江西省杨市城东贾街d座 720547,广州县,海南省,430957,中国,14576038152,15381920854.0,ET664,Customer
EX753,飞利信传媒有限公司电子商务,祁明,总经理,湖南省雪梅县平山西安路c座 107995,乌鲁木齐市,台湾省,706254,中国,18947324842,,EX753,Customer
EZ177,四通传媒有限公司信息技术,张桂芝,总经理,西藏自治区嘉禾县高明西宁路X座 823260,汕尾县,四川省,305729,中国,18875507327,14508639126.0,EZ177,Customer
FA748,彩虹科技有限公司生物科技,张丽华,CEO,台湾省旭市门头沟东莞街E座 294059,梧州市,贵州省,932212,中国,13134682340,14783862530.0,FA748,Customer
FC408,国讯科技有限公司科技公司,张颖,采购总监,甘肃省玉梅县城北广州路a座 989029,文县,云南省,210027,中国,15646619474,,FC408,Customer
FC851,飞海科技网络有限公司移动应用开发,陈丽,采购总监,海南省天津市淄川张街q座 932172,燕县,浙江省,971594,中国,18884702424,,FC851,Customer
