EmployeeID,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address,City,Region,PostalCode,Country,HomePhone,Extension,Photo,Notes,ReportsTo
1,朱,阳,销售经理,先生,1987-01-29,2016-07-04,青海省志强县朝阳吴路M座 442939,静县,福建省,121287,中国,13665074744,387,,那个设备系列任何行业评论以及.一个一切品牌.,
2,郭,小红,销售经理,先生,1975-05-19,2021-12-28,北京市深圳县门头沟太原街d座 818708,伟市,黑龙江省,679494,中国,13859145859,794,,如何设计感觉作为环境进入教育看到.人员他的运行这么.,1.0
3,商,帅,客户经理,女士,1987-08-18,2018-03-02,湖北省红霞县涪城贵阳路E座 107834,雪市,西藏自治区,585480,中国,18082774202,736,,支持其中技术产品的是方式.有限一个这个谢谢设备电脑联系.基本社会一种.,1.0
4,邓,志强,CEO,小姐,1976-12-31,2018-01-08,北京市马鞍山市新城昆明路W座 370849,文县,北京市,657934,中国,13220759652,998,,有限联系责任进行系列.地区资源系列能力说明知道无法.免费开发这样可能报告继续一个.,2.0
5,吴,玉梅,客户经理,教授,1966-06-15,2025-01-24,上海市福州县丰都关岭街W座 573314,洋县,台湾省,461330,中国,14549198828,445,,次数应用准备不同活动希望对于.这个能力就是组织日本项目部门.,2.0
6,郭,淑兰,销售经理,小姐,1998-11-22,2019-08-22,山东省丽丽县东城潜江路l座 649810,海门市,内蒙古自治区,412754,中国,15289787369,837,,计划之后看到可是直接.信息比较责任喜欢销售品牌.,2.0
7,莫,红,销售经理,先生,1985-09-29,2026-03-04,天津市萍市普陀刘路J座 855565,北镇县,陕西省,912284,中国,15041337124,412,,作者到了评论方面地方网站.主题计划通过提高大家.设计发布包括在线能力.,3.0
8,刘,玉英,区域经理,小姐,1979-12-05,2024-03-07,四川省乌鲁木齐市怀柔沈阳街p座 842765,南京县,江苏省,185436,中国,15675702272,458,,地方一样控制广告认为.一样所以最新.是否回复提供帖子.,4.0
9,蒋,艳,CEO,女士,1998-08-20,2018-09-29,天津市广州县南溪长春街Z座 235194,永安市,北京市,758080,中国,13418170375,898,,他的觉得组织完成.不是也是程序得到电子应用特别.,3.0
10,彭,兵,市场经理,小姐,1995-08-15,2025-10-03,天津市利县海陵昆明路o座 137323,杭州县,台湾省,487649,中国,15749328249,326,,或者我们来自设计.应用类型大学项目.教育只要解决阅读什么.,9.0
11,李,玲,市场总监,小姐,1977-07-04,2022-04-05,江苏省巢湖县朝阳哈尔滨路D座 302121,辛集县,江西省,603710,中国,18044291164,426,,结果重要帖子以后没有人民能力.拥有软件文件.,
12,黄,健,客户经理,先生,1970-04-25,2022-05-30,香港特别行政区福州市徐汇张路a座 775004,萍市,宁夏回族自治区,824416,中国,15972196258,100,,根据中心增加游戏应该工具表示.决定而且为了工具.,5.0
13,甘,秀华,市场经理,女士,1971-06-04,2025-01-31,陕西省兴城市龙潭黄街a座 673824,雷市,黑龙江省,865846,中国,18264365956,803,,学校那么成功非常为什.有关研究相关会员自己是一.起来这里计划主题详细成功.,
14,李,斌,区域经理,博士,2003-02-22,2019-04-23,西藏自治区淮安县花溪辛集街M座 713969,南宁市,广西壮族自治区,495018,中国,13081707917,199,,都是包括起来地区那个得到如此.成为软件大学资源非常留言加入现在.以及研究一起管理.,
15,刘,雷,销售总监,博士,1991-06-18,2018-07-23,西藏自治区东莞县海陵兴安盟路f座 961378,武汉县,湖南省,978039,中国,15147245845,209,,出现活动过程手机不会.日期正在来源日期基本美国.,2.0
16,陆,婷婷,市场经理,先生,1988-01-22,2020-07-30,海南省梧州市南长吴街h座 467866,阜新县,内蒙古自治区,291481,中国,15154609014,916,,时候地方过程经济次数.男人标题方法汽车合作全部全部.中国运行功能搜索.,
17,何,丽,销售代表,小姐,1972-01-25,2020-08-22,青海省丹市闵行邢街u座 128709,淑兰市,新疆维吾尔自治区,940645,中国,14527182691,668,,同时到了能够注意很多非常.点击客户帖子作品当前这些.网络一次您的资源一直广告只要.任何那些不断信息网站已经市场.,14.0
18,孙,慧,CEO,博士,1970-06-05,2022-01-20,内蒙古自治区关岭市清河永安路g座 428634,秀云县,澳门特别行政区,552961,中国,13310811640,318,,会员日本等级发现决定国际分析.分析必须企业一点积分信息质量.,4.0
19,杨,平,区域经理,先生,1973-03-17,2024-08-11,广西壮族自治区兰英市吉区殷街U座 237575,昆明县,湖北省,593080,中国,18546072156,180,,或者那么经营文件中国来自本站.联系不过用户我们下载科技服务.次数有些介绍位置以及开发.,7.0
20,申,倩,销售总监,女士,1971-09-04,2025-02-01,香港特别行政区海门县浔阳海门路m座 983117,哈尔滨县,香港特别行政区,265748,中国,18053862615,297,,那么增加加入问题.新闻次数电子女人关于安全.必须控制开始科技城市.,
