OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName
93,MG280,1,2023-10-22 01:59:23,2023-11-01 01:59:23,,10,81.18,海创网络有限公司人工智能,河北省佳县南湖周路C座 995511,六安市,河北省,703959,中国,海创网络有限公司人工智能,孙,凤英,邮政EMS
92,BQ628,1,2023-09-20 10:02:10,2023-09-29 10:02:10,2023-09-22 10:02:10,2,246.43,同兴万点传媒有限公司科技公司,山西省太原市静安范路e座 112157,北镇市,山西省,591713,中国,同兴万点传媒有限公司科技公司,孙,凤英,京东物流
82,VP414,1,2023-10-19 11:05:35,2023-10-24 11:05:35,2023-10-20 11:05:35,1,53.95,襄樊地球村网络有限公司网络安全,辽宁省太原市高明刘路U座 636644,桂花县,内蒙古自治区,637232,中国,襄樊地球村网络有限公司网络安全,孙,凤英,顺丰速运
79,MG280,1,2025-06-29 01:21:05,2025-07-12 01:21:05,2025-06-30 01:21:05,2,176.26,海创网络有限公司人工智能,河北省佳县南湖周路C座 995511,六安市,河北省,703959,中国,海创网络有限公司人工智能,孙,凤英,京东物流
78,ND977,1,2024-09-07 22:01:58,2024-09-19 22:01:58,2024-09-08 22:01:58,9,462.22,合联电子信息有限公司人工智能,北京市呼和浩特县涪城侯街U座 212565,刚县,青海省,982184,中国,合联电子信息有限公司人工智能,孙,凤英,德邦物流
75,UC728,1,2023-11-12 03:26:58,2023-11-17 03:26:58,2023-11-14 03:26:58,1,443.6,立信电子信息有限公司区块链技术,重庆市西宁县金平马路F座 754140,婷婷县,云南省,368630,中国,立信电子信息有限公司区块链技术,孙,凤英,顺丰速运
73,PA514,1,2024-05-18 16:44:18,2024-05-22 16:44:18,2024-05-19 16:44:18,6,473.05,明腾网络有限公司金融科技,澳门特别行政区瑞县静安澳门路B座 451149,春梅市,台湾省,436420,中国,明腾网络有限公司金融科技,孙,凤英,韵达快递
72,VP414,1,2024-01-31 02:09:58,2024-02-03 02:09:58,2024-02-02 02:09:58,9,411.57,襄樊地球村网络有限公司网络安全,辽宁省太原市高明刘路U座 636644,桂花县,内蒙古自治区,637232,中国,襄樊地球村网络有限公司网络安全,孙,凤英,德邦物流
71,OM558,1,2024-05-31 04:46:31,2024-06-14 04:46:31,2024-06-05 04:46:31,6,256.32,易动力信息有限公司电子商务,新疆维吾尔自治区璐市清浦何街Z座 296863,莹县,湖北省,259307,中国,易动力信息有限公司电子商务,孙,凤英,韵达快递
69,IO550,1,2024-09-13 21:36:46,2024-09-16 21:36:46,2024-09-16 21:36:46,5,338.16,富罳科技有限公司网络安全,北京市玉梅县萧山巢湖街E座 590988,哈尔滨县,湖南省,492825,中国,富罳科技有限公司网络安全,孙,凤英,申通快递
66,JA062,1,2025-05-28 18:24:31,2025-06-04 18:24:31,2025-06-02 18:24:31,9,418.24,时刻科技有限公司数字科技,海南省荆门市门头沟惠州路E座 661724,关岭县,天津市,727644,中国,时刻科技有限公司数字科技,孙,凤英,德邦物流
63,MG280,1,2025-08-22 16:04:56,2025-09-01 16:04:56,2025-08-23 16:04:56,10,241.73,海创网络有限公司人工智能,河北省佳县南湖周路C座 995511,六安市,河北省,703959,中国,海创网络有限公司人工智能,孙,凤英,邮政EMS
62,UC728,1,2023-09-04 10:12:08,2023-09-11 10:12:08,2023-09-06 10:12:08,10,375.1,立信电子信息有限公司区块链技术,重庆市西宁县金平马路F座 754140,婷婷县,云南省,368630,中国,立信电子信息有限公司区块链技术,孙,凤英,邮政EMS
61,NA100,1,2023-11-30 18:16:26,2023-12-12 18:16:26,2023-12-05 18:16:26,1,305.3,四通传媒有限公司电子商务,黑龙江省宁县萧山王路e座 767046,沈阳市,西藏自治区,692435,中国,四通传媒有限公司电子商务,孙,凤英,顺丰速运
60,UP707,1,2025-05-29 19:05:08,2025-06-08 19:05:08,2025-05-30 19:05:08,1,408.76,鸿睿思博科技有限公司信息技术,河北省杰县淄川沈阳路T座 161630,乌鲁木齐县,北京市,827792,中国,鸿睿思博科技有限公司信息技术,孙,凤英,顺丰速运
59,BQ628,1,2023-12-20 00:42:20,2023-12-29 00:42:20,,8,16.95,同兴万点传媒有限公司科技公司,山西省太原市静安范路e座 112157,北镇市,山西省,591713,中国,同兴万点传媒有限公司科技公司,孙,凤英,天天快递
57,PA514,1,2024-06-18 20:58:33,2024-06-21 20:58:33,2024-06-23 20:58:33,4,400.35,明腾网络有限公司金融科技,澳门特别行政区瑞县静安澳门路B座 451149,春梅市,台湾省,436420,中国,明腾网络有限公司金融科技,孙,凤英,圆通速递
56,UP707,1,2024-11-08 14:58:28,2024-11-22 14:58:28,2024-11-09 14:58:28,3,388.97,鸿睿思博科技有限公司信息技术,河北省杰县淄川沈阳路T座 161630,乌鲁木齐县,北京市,827792,中国,鸿睿思博科技有限公司信息技术,孙,凤英,中通快递
53,LS391,1,2023-11-02 12:30:30,2023-11-06 12:30:30,2023-11-03 12:30:30,1,295.19,超艺传媒有限公司大数据分析,江苏省玉市璧山张路Z座 452269,武汉县,新疆维吾尔自治区,233003,中国,超艺传媒有限公司大数据分析,孙,凤英,顺丰速运
51,LS391,1,2025-04-20 03:47:52,2025-05-03 03:47:52,2025-04-25 03:47:52,4,221.97,超艺传媒有限公司大数据分析,江苏省玉市璧山张路Z座 452269,武汉县,新疆维吾尔自治区,233003,中国,超艺传媒有限公司大数据分析,孙,凤英,圆通速递
48,LS391,1,2025-04-11 10:55:26,2025-04-21 10:55:26,2025-04-12 10:55:26,6,28.69,超艺传媒有限公司大数据分析,江苏省玉市璧山张路Z座 452269,武汉县,新疆维吾尔自治区,233003,中国,超艺传媒有限公司大数据分析,孙,凤英,韵达快递
46,TP634,1,2024-01-31 20:02:27,2024-02-04 20:02:27,2024-02-05 20:02:27,7,81.61,创联世纪网络有限公司网络安全,四川省娟市黄浦顾街O座 866732,郑州县,台湾省,710297,中国,创联世纪网络有限公司网络安全,孙,凤英,百世快递
43,TP634,1,2024-06-03 20:24:49,2024-06-09 20:24:49,,10,230.88,创联世纪网络有限公司网络安全,四川省娟市黄浦顾街O座 866732,郑州县,台湾省,710297,中国,创联世纪网络有限公司网络安全,孙,凤英,邮政EMS
